locality,property_type,area_sqft,age_years,metro_km,amenities,txn_year,price
"Sector 56, Gurugram",Villa,545.0,2,0.7,"power backup, club",2019,6662000.0
"Janakpuri, Delhi",Flat / Apartment,1700.0,1,0.6,"lift, park-facing, gym",2024,18442000.0
"Dwarka, Delhi",Flat / Apartment,1297.0,20,3.9,,2023,6799000.0
"Saket, Delhi",Builder Floor,1210.0,15,1.2,"lift, parking, gym, club",2022,18882000.0
Greater Noida West,Flat / Apartment,1522.0,9,1.6,"lift, power backup",2019,4807000.0
"Sector 15, Faridabad",Flat / Apartment,516.0,0,0.8,"lift, park-facing, gym",2023,2454000.0
"Sector 62, Noida",Flat / Apartment,1295.0,24,1.0,"lift, gym, club",2022,6866000.0
"Dwarka, Delhi",Villa,1336.0,19,1.8,"lift, parking, park-facing, club",2022,11882000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1336.0,17,2.4,"parking, park-facing, security",2023,6340000.0
"Sector 56, Gurugram",Builder Floor,685.0,7,1.8,"parking, gym, security, club",2021,6507000.0
"Pitampura, Delhi",Independent House,1501.0,28,2.8,"gym, security",2022,11199000.0
"Dwarka, Delhi",Flat / Apartment,1777.0,1,3.5,"parking, security, power backup",2018,8708000.0
"Sector 15, Faridabad",Builder Floor,1483.0,22,0.4,"parking, park-facing, security, power backup",2022,6308000.0
"Janakpuri, Delhi",Flat / Apartment,1197.0,21,2.9,"parking, security, club",2024,10750000.0
"Rohini, Delhi",Flat / Apartment,2510.0,21,2.3,"lift, parking",2024,14603000.0
"Saket, Delhi",Flat / Apartment,884.0,18,2.3,lift,2019,7910000.0
"Janakpuri, Delhi",Villa,1648.0,9,0.7,"parking, park-facing",2024,25446000.0
"Rohini, Delhi",Flat / Apartment,1409.0,13,1.4,"lift, parking, park-facing, power backup, club",2020,6489000.0
"Lajpat Nagar, Delhi",Flat / Apartment,2206.0,13,3.1,"lift, parking, power backup, club",2019,18479000.0
"Pitampura, Delhi",Villa,1474.0,25,0.6,,2021,13576000.0
"Sector 15, Faridabad",Flat / Apartment,1571.0,22,8.1,"lift, parking",2021,5053000.0
"Dwarka, Delhi",Independent House,1528.0,14,3.9,"lift, parking, park-facing, power backup, club",2021,10745000.0
"Mayur Vihar, Delhi",Builder Floor,824.0,21,0.9,"lift, park-facing",2020,5824000.0
Greater Noida West,Builder Floor,909.0,29,1.5,,2023,2930000.0
"Indirapuram, Ghaziabad",Independent House,1176.0,20,0.5,"park-facing, gym, security",2018,5614000.0
"Sector 15, Faridabad",Builder Floor,1731.0,10,4.0,"park-facing, security, club",2021,7139000.0
"Saket, Delhi",Flat / Apartment,1405.0,0,1.8,"lift, gym, club",2020,18080000.0
"Indirapuram, Ghaziabad",Villa,1207.0,26,2.4,park-facing,2022,7524000.0
"Sector 15, Faridabad",Villa,1917.0,0,2.0,"lift, parking",2022,11364000.0
"Lajpat Nagar, Delhi",Independent House,408.0,15,3.2,"park-facing, power backup, club",2024,5504000.0
"Pitampura, Delhi",Builder Floor,717.0,2,0.9,"park-facing, gym, security",2023,5967000.0
"Pitampura, Delhi",Flat / Apartment,350.0,26,9.5,"parking, park-facing, gym, security, power backup, club",2024,3015000.0
"Pitampura, Delhi",Flat / Apartment,1844.0,0,3.2,"security, club",2023,13900000.0
"Vasant Kunj, Delhi",Flat / Apartment,1256.0,20,3.5,"lift, gym, security, power backup, club",2022,16092000.0
"Sector 15, Faridabad",Flat / Apartment,1735.0,23,,gym,2018,3999000.0
"Sector 15, Faridabad",Builder Floor,1251.0,21,0.9,"lift, parking, security, club",2023,5804000.0
"Lajpat Nagar, Delhi",Builder Floor,1760.0,16,1.5,gym,2020,15543000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1243.0,17,1.4,"parking, power backup",2020,4958000.0
"Janakpuri, Delhi",Flat / Apartment,1484.0,15,4.5,lift,2024,12598000.0
"Indirapuram, Ghaziabad",Builder Floor,1419.0,22,1.0,"park-facing, gym, security",2021,6559000.0
"Mayur Vihar, Delhi",Flat / Apartment,1452.0,2,2.1,"lift, parking, park-facing, gym",2021,11452000.0
"Pitampura, Delhi",Villa,2058.0,26,0.6,"park-facing, club",2020,20143000.0
"Dwarka, Delhi",Builder Floor,569.0,23,3.2,"parking, park-facing, security",2024,3833000.0
"Sector 56, Gurugram",Flat / Apartment,1269.0,29,1.1,"lift, parking, park-facing, gym, power backup",2020,9525000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1389.0,2,3.4,"parking, park-facing, security, power backup, club",2020,14039000.0
"Saket, Delhi",Builder Floor,1322.0,6,4.2,"park-facing, gym",2023,19793000.0
"Saket, Delhi",Flat / Apartment,1121.0,6,6.8,"lift, parking, park-facing, gym, power backup, club",2020,14041000.0
"Sector 15, Faridabad",Independent House,1059.0,12,1.8,"gym, security, power backup, club",2024,6165000.0
"Dwarka, Delhi",Flat / Apartment,1989.0,24,2.5,"lift, parking, park-facing, security",2021,10278000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1268.0,23,2.0,security,2022,4565000.0
Greater Noida West,Flat / Apartment,2397.0,20,1.5,"parking, park-facing",2023,8750000.0
"Rohini, Delhi",Builder Floor,1538.0,11,3.8,club,2024,9444000.0
"Mayur Vihar, Delhi",Villa,1170.0,2,1.4,"lift, park-facing",2020,12513000.0
"Mayur Vihar, Delhi",Independent House,1549.0,20,3.3,"parking, park-facing, security, club",2020,11166000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1349.0,2,0.1,"parking, power backup, club",2021,16216000.0
"Sector 56, Gurugram",Independent House,1904.0,6,1.1,"lift, parking, gym, security, power backup, club",2021,24279000.0
"Janakpuri, Delhi",Flat / Apartment,775.0,12,3.9,"parking, security, power backup, club",2023,6100000.0
"Janakpuri, Delhi",Builder Floor,489.0,23,2.1,"park-facing, gym, club",2024,4569000.0
"Janakpuri, Delhi",Villa,1462.0,18,4.3,"parking, security, power backup",2020,15605000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1676.0,3,2.1,"gym, security, power backup",2018,6517000.0
"Sector 56, Gurugram",Villa,1429.0,7,3.7,"parking, gym",2020,16741000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1603.0,25,1.1,"park-facing, gym, power backup",2018,11662000.0
"Sector 15, Faridabad",Flat / Apartment,1536.0,17,3.3,"lift, parking, power backup",2024,6395000.0
"Indirapuram, Ghaziabad",Flat / Apartment,634.0,19,2.9,"lift, park-facing, power backup",2023,3113000.0
"Sector 15, Faridabad",Independent House,1427.0,10,1.9,"parking, park-facing, gym",2020,6215000.0
"Sector 62, Noida",Flat / Apartment,1893.0,24,3.7,"security, club",2021,8253000.0
"Janakpuri, Delhi",Independent House,1377.0,17,4.1,"gym, power backup",2021,12268000.0
"Indirapuram, Ghaziabad",Flat / Apartment,711.0,2,3.5,"lift, security",2023,3589000.0
"Lajpat Nagar, Delhi",Builder Floor,1150.0,21,3.8,"gym, security",2018,9390000.0
"Vasant Kunj, Delhi",Builder Floor,1551.0,8,,security,2020,21419000.0
"Janakpuri, Delhi",Flat / Apartment,2108.0,25,0.8,"gym, power backup",2024,16333000.0
"Sector 15, Faridabad",Builder Floor,420.0,19,2.3,"lift, parking, park-facing, security, club",2020,1456000.0
"Mayur Vihar, Delhi",Builder Floor,1463.0,5,1.9,"gym, security",2022,12029000.0
"Lajpat Nagar, Delhi",Flat / Apartment,881.0,0,2.7,"lift, gym",2019,8424000.0
"Pitampura, Delhi",Flat / Apartment,1528.0,2,4.2,power backup,2024,13374000.0
"Vasant Kunj, Delhi",Flat / Apartment,1565.0,7,3.6,"power backup, club",2022,20060000.0
"Sector 56, Gurugram",Villa,1195.0,3,3.4,"parking, park-facing, club",2023,17700000.0
"Lajpat Nagar, Delhi",Builder Floor,1584.0,19,0.2,parking,2024,17892000.0
"Mayur Vihar, Delhi",Independent House,1813.0,4,2.0,club,2023,18076000.0
"Lajpat Nagar, Delhi",Builder Floor,1226.0,13,1.5,"gym, club",2019,12103000.0
"Lajpat Nagar, Delhi",Independent House,698.0,9,3.1,"lift, park-facing, club",2018,6870000.0
"Sector 15, Faridabad",Flat / Apartment,1942.0,19,4.9,"lift, parking, security, club",2020,6064000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1673.0,0,2.6,"lift, parking, gym, security, power backup",2021,17817000.0
"Rohini, Delhi",Builder Floor,1554.0,12,0.6,power backup,2020,7961000.0
"Lajpat Nagar, Delhi",Flat / Apartment,989.0,24,2.1,"parking, park-facing, gym, security",2018,6935000.0
"Pitampura, Delhi",Flat / Apartment,1743.0,7,0.0,"lift, parking, club",2018,11521000.0
"Dwarka, Delhi",Builder Floor,2219.0,25,3.9,"park-facing, gym, power backup, club",2021,12529000.0
"Vasant Kunj, Delhi",Independent House,1245.0,5,1.5,"lift, parking, park-facing, power backup",2018,18266000.0
"Saket, Delhi",Builder Floor,1343.0,21,4.5,"park-facing, gym",2024,19209000.0
"Pitampura, Delhi",Flat / Apartment,821.0,8,4.6,"lift, park-facing, power backup, club",2019,4721000.0
"Sector 62, Noida",Villa,976.0,10,5.2,,2020,6307000.0
"Sector 15, Faridabad",Flat / Apartment,816.0,15,1.5,"parking, gym",2020,2885000.0
"Janakpuri, Delhi",Flat / Apartment,1359.0,21,7.4,"parking, security, club",2020,8763000.0
Greater Noida West,Villa,1147.0,15,4.5,"lift, gym, power backup",2022,5944000.0
"Saket, Delhi",Independent House,1468.0,17,1.5,"parking, gym, security, power backup",2020,20760000.0
"Indirapuram, Ghaziabad",Villa,899.0,8,4.8,"lift, parking",2021,6118000.0
"Mayur Vihar, Delhi",Independent House,1225.0,19,1.5,club,2022,11590000.0
"Sector 62, Noida",Builder Floor,871.0,2,2.7,"parking, park-facing, gym, club",2023,6130000.0
"Sector 62, Noida",Flat / Apartment,1384.0,2,3.3,"lift, parking, gym, security, club",2024,10208000.0
"Pitampura, Delhi",Flat / Apartment,565.0,4,3.2,"lift, gym, security, power backup",2019,3499000.0
"Vasant Kunj, Delhi",Villa,1368.0,26,1.2,parking,2022,23976000.0
"Pitampura, Delhi",Independent House,1175.0,18,5.1,"lift, parking, security, club",2018,7998000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1381.0,10,4.0,power backup,2023,6000000.0
"Sector 15, Faridabad",Flat / Apartment,556.0,18,6.1,gym,2020,1570000.0
"Sector 15, Faridabad",Flat / Apartment,1595.0,8,5.0,"park-facing, power backup",2020,5289000.0
"Saket, Delhi",Flat / Apartment,1166.0,21,4.4,"lift, parking, security, club",2023,13980000.0
"Mayur Vihar, Delhi",Independent House,1398.0,11,4.5,"lift, parking, gym",2020,11643000.0
"Dwarka, Delhi",Flat / Apartment,458.0,18,3.3,"lift, park-facing, gym, power backup",2020,2482000.0
"Sector 56, Gurugram",Flat / Apartment,741.0,7,2.0,"lift, parking",2019,5384000.0
"Sector 15, Faridabad",Villa,1124.0,1,3.4,lift,2022,6756000.0
"Rohini, Delhi",Flat / Apartment,1919.0,29,1.1,"lift, parking",2018,7078000.0
"Sector 56, Gurugram",Flat / Apartment,1537.0,19,4.8,"lift, park-facing, gym, power backup, club",2024,14207000.0
"Sector 15, Faridabad",Flat / Apartment,1358.0,19,8.9,"lift, parking, park-facing, gym",2023,5944000.0
Greater Noida West,Flat / Apartment,884.0,18,3.5,"lift, parking, park-facing, club",2018,2455000.0
"Janakpuri, Delhi",Flat / Apartment,802.0,26,1.6,"gym, security, power backup",2023,5978000.0
"Dwarka, Delhi",Flat / Apartment,1424.0,0,1.0,"lift, power backup",2018,7692000.0
"Sector 15, Faridabad",Flat / Apartment,1615.0,28,2.0,"gym, security, power backup, club",2018,4345000.0
Greater Noida West,Flat / Apartment,1394.0,13,4.5,"parking, park-facing, security, power backup, club",2022,5068000.0
"Mayur Vihar, Delhi",Flat / Apartment,2069.0,17,3.2,"parking, park-facing",2021,14625000.0
"Sector 15, Faridabad",Flat / Apartment,993.0,28,2.8,"lift, parking",2023,3468000.0
"Rohini, Delhi",Villa,1381.0,24,2.1,"parking, security",2022,9234000.0
"Sector 56, Gurugram",Flat / Apartment,538.0,10,3.0,"lift, parking, power backup",2018,3920000.0
"Rohini, Delhi",Flat / Apartment,1395.0,27,0.6,"parking, park-facing, security, power backup, club",2024,8987000.0
"Sector 15, Faridabad",Independent House,1961.0,2,1.8,"lift, park-facing",2020,9879000.0
"Sector 56, Gurugram",Flat / Apartment,831.0,4,1.7,"lift, park-facing, power backup, club",2018,5609000.0
Greater Noida West,Flat / Apartment,1679.0,6,1.7,"lift, park-facing, security, club",2020,5530000.0
"Mayur Vihar, Delhi",Independent House,1948.0,8,4.0,"lift, power backup, club",2018,14961000.0
"Dwarka, Delhi",Builder Floor,990.0,20,0.5,lift,2019,4902000.0
"Rohini, Delhi",Flat / Apartment,1510.0,12,1.7,"parking, park-facing",2019,6809000.0
"Lajpat Nagar, Delhi",Builder Floor,2011.0,25,2.4,power backup,2024,23423000.0
"Sector 62, Noida",Builder Floor,1404.0,18,2.1,"lift, park-facing, gym, security",2019,8055000.0
"Dwarka, Delhi",Flat / Apartment,1654.0,18,2.2,lift,2021,8322000.0
Greater Noida West,Flat / Apartment,502.0,23,0.5,"parking, gym, security, club",2019,1312000.0
"Vasant Kunj, Delhi",Flat / Apartment,1569.0,12,3.0,,2018,15094000.0
"Pitampura, Delhi",Independent House,1533.0,10,0.7,"park-facing, club",2024,16669000.0
"Saket, Delhi",Flat / Apartment,703.0,3,0.9,,2020,9158000.0
"Pitampura, Delhi",Flat / Apartment,866.0,25,4.0,"park-facing, security, power backup",2024,6549000.0
"Janakpuri, Delhi",Flat / Apartment,1572.0,6,2.4,"parking, gym, power backup",2019,11959000.0
"Rohini, Delhi",Villa,1164.0,19,1.5,"lift, gym, club",2022,8810000.0
"Mayur Vihar, Delhi",Flat / Apartment,1800.0,23,7.5,"lift, parking, gym, security",2018,9702000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1440.0,11,,"park-facing, gym, power backup",2023,8326000.0
"Sector 15, Faridabad",Flat / Apartment,1325.0,4,0.9,"lift, parking, power backup",2024,5782000.0
"Lajpat Nagar, Delhi",Builder Floor,1223.0,20,0.4,"lift, gym, power backup, club",2021,13618000.0
Greater Noida West,Flat / Apartment,1432.0,9,4.5,"lift, club",2022,4736000.0
Greater Noida West,Independent House,1661.0,25,3.7,"gym, security, club",2022,5889000.0
"Sector 15, Faridabad",Flat / Apartment,1540.0,13,2.3,"park-facing, gym",2021,5672000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1110.0,10,1.2,"lift, park-facing",2023,13183000.0
Greater Noida West,Flat / Apartment,1858.0,21,3.3,"lift, power backup",2023,6174000.0
"Mayur Vihar, Delhi",Flat / Apartment,1596.0,11,3.6,"gym, power backup",2024,12859000.0
"Rohini, Delhi",Flat / Apartment,1473.0,23,0.1,"parking, park-facing",2019,6696000.0
"Vasant Kunj, Delhi",Independent House,1341.0,20,0.9,"gym, club",2020,18411000.0
"Sector 56, Gurugram",Flat / Apartment,1525.0,26,4.0,"gym, security, club",2018,9258000.0
"Saket, Delhi",Builder Floor,476.0,12,0.7,"parking, park-facing, security, power backup",2023,7314000.0
"Janakpuri, Delhi",Flat / Apartment,1409.0,2,1.7,"lift, park-facing, gym",2020,11493000.0
"Indirapuram, Ghaziabad",Builder Floor,2038.0,5,2.1,"lift, security",2018,8254000.0
"Dwarka, Delhi",Flat / Apartment,1399.0,0,1.2,"parking, power backup, club",2024,10514000.0
"Pitampura, Delhi",Flat / Apartment,1338.0,25,2.5,"park-facing, power backup, club",2018,6745000.0
"Saket, Delhi",Flat / Apartment,1032.0,7,1.2,,2024,15118000.0
"Pitampura, Delhi",Villa,1522.0,6,0.9,"gym, security, power backup, club",2020,15347000.0
"Vasant Kunj, Delhi",Independent House,1212.0,18,0.6,lift,2022,18196000.0
"Sector 15, Faridabad",Independent House,1889.0,7,0.6,"parking, park-facing, power backup",2021,9169000.0
"Rohini, Delhi",Independent House,911.0,29,4.4,"lift, club",2021,4696000.0
"Sector 15, Faridabad",Flat / Apartment,1096.0,26,3.5,"parking, gym, security, power backup, club",2019,3188000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1030.0,13,2.4,"gym, security",2021,4164000.0
Greater Noida West,Flat / Apartment,2126.0,19,2.1,parking,2024,7572000.0
Greater Noida West,Independent House,1215.0,11,7.4,"parking, park-facing, security",2020,5072000.0
"Saket, Delhi",Flat / Apartment,1053.0,12,4.1,club,2021,13017000.0
"Sector 15, Faridabad",Flat / Apartment,359.0,14,5.3,"parking, club",2024,1362000.0
"Mayur Vihar, Delhi",Builder Floor,890.0,11,2.2,"lift, parking, park-facing, security, power backup",2020,6977000.0
"Sector 15, Faridabad",Flat / Apartment,1538.0,13,1.1,"park-facing, gym, security, power backup",2024,6917000.0
Greater Noida West,Builder Floor,1536.0,5,0.9,"parking, gym, power backup",2023,6291000.0
"Mayur Vihar, Delhi",Flat / Apartment,1007.0,19,1.0,"park-facing, gym, security, club",2022,8432000.0
"Lajpat Nagar, Delhi",Builder Floor,1032.0,2,1.3,"lift, gym, club",2022,13150000.0
"Dwarka, Delhi",Independent House,2137.0,27,2.1,"parking, park-facing, gym, security",2023,15104000.0
"Dwarka, Delhi",Builder Floor,2513.0,27,2.4,"lift, parking, security, power backup",2023,17050000.0
"Janakpuri, Delhi",Flat / Apartment,1817.0,6,1.7,club,2019,13708000.0
"Indirapuram, Ghaziabad",Flat / Apartment,2002.0,1,,lift,2020,9395000.0
"Pitampura, Delhi",Flat / Apartment,2097.0,14,0.7,"lift, gym, club",2024,16708000.0
"Pitampura, Delhi",Flat / Apartment,2297.0,1,7.6,"lift, power backup",2020,16006000.0
"Vasant Kunj, Delhi",Builder Floor,1164.0,12,0.6,"park-facing, power backup",2023,18266000.0
"Mayur Vihar, Delhi",Flat / Apartment,905.0,22,6.1,,2020,5135000.0
"Sector 56, Gurugram",Flat / Apartment,2125.0,9,1.7,"parking, gym, security",2020,18080000.0
"Sector 15, Faridabad",Flat / Apartment,866.0,26,1.7,"lift, parking, park-facing, gym, security, power backup, club",2023,3640000.0
"Sector 62, Noida",Villa,837.0,0,1.2,"lift, gym, power backup, club",2022,8225000.0
"Mayur Vihar, Delhi",Flat / Apartment,847.0,21,3.3,club,2020,4494000.0
Greater Noida West,Flat / Apartment,1241.0,15,0.9,"lift, park-facing, power backup",2022,4262000.0
"Janakpuri, Delhi",Flat / Apartment,407.0,7,2.2,"lift, parking, park-facing",2018,3195000.0
"Sector 15, Faridabad",Flat / Apartment,655.0,12,3.1,"security, power backup, club",2020,2101000.0
"Lajpat Nagar, Delhi",Villa,1020.0,8,0.3,"lift, parking, gym, security, power backup",2021,17425000.0
"Dwarka, Delhi",Flat / Apartment,762.0,18,1.3,"lift, gym",2023,4491000.0
"Janakpuri, Delhi",Builder Floor,1778.0,28,7.9,"parking, park-facing, gym, security",2019,12443000.0
"Dwarka, Delhi",Builder Floor,1303.0,15,1.3,"parking, park-facing, club",2020,8073000.0
"Dwarka, Delhi",Independent House,1560.0,21,1.0,lift,2022,10924000.0
Greater Noida West,Builder Floor,1510.0,18,1.5,"parking, power backup",2019,4230000.0
"Indirapuram, Ghaziabad",Independent House,1207.0,24,9.1,"gym, power backup, club",2021,5251000.0
"Saket, Delhi",Flat / Apartment,1745.0,16,6.2,"power backup, club",2022,19531000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1503.0,13,2.0,gym,2019,5434000.0
"Rohini, Delhi",Builder Floor,1157.0,3,4.3,club,2019,5710000.0
"Vasant Kunj, Delhi",Builder Floor,542.0,23,2.0,"parking, park-facing, gym, club",2024,8067000.0
"Sector 62, Noida",Flat / Apartment,1534.0,26,2.2,"lift, park-facing, gym, security",2022,9171000.0
"Vasant Kunj, Delhi",Flat / Apartment,732.0,29,2.8,"lift, parking, gym, power backup",2021,7500000.0
"Sector 62, Noida",Flat / Apartment,1471.0,21,3.7,"power backup, club",2020,6877000.0
Greater Noida West,Flat / Apartment,1335.0,10,1.5,"lift, parking, park-facing, club",2021,5125000.0
"Rohini, Delhi",Flat / Apartment,688.0,21,1.0,"lift, parking, park-facing, power backup",2023,3762000.0
"Rohini, Delhi",Flat / Apartment,1416.0,9,3.0,"gym, security",2022,7001000.0
"Sector 15, Faridabad",Flat / Apartment,1386.0,26,0.7,"lift, park-facing, security, club",2021,4588000.0
"Pitampura, Delhi",Builder Floor,1388.0,1,1.9,"parking, power backup, club",2022,13493000.0
"Pitampura, Delhi",Builder Floor,1366.0,26,1.8,"parking, security",2019,7802000.0
"Pitampura, Delhi",Builder Floor,1006.0,22,0.4,"parking, security, power backup",2018,5920000.0
"Janakpuri, Delhi",Builder Floor,1566.0,26,1.0,club,2023,13149000.0
"Sector 56, Gurugram",Flat / Apartment,991.0,7,2.0,"parking, security, power backup",2021,7807000.0
"Mayur Vihar, Delhi",Flat / Apartment,816.0,15,0.0,"gym, security, club",2024,7910000.0
"Saket, Delhi",Builder Floor,1604.0,7,4.0,"lift, parking, gym, security, power backup",2024,26662000.0
"Sector 56, Gurugram",Independent House,1721.0,21,0.9,"gym, power backup, club",2024,19481000.0
"Sector 56, Gurugram",Builder Floor,1573.0,18,3.3,"parking, park-facing, gym, security",2024,16233000.0
"Dwarka, Delhi",Builder Floor,1207.0,20,1.3,"gym, club",2022,7113000.0
"Lajpat Nagar, Delhi",Builder Floor,427.0,22,2.1,"parking, park-facing, gym, power backup",2018,3383000.0
"Indirapuram, Ghaziabad",Builder Floor,1967.0,1,3.7,gym,2022,9200000.0
"Sector 56, Gurugram",Builder Floor,420.0,12,1.3,"parking, security, club",2020,3771000.0
"Dwarka, Delhi",Builder Floor,1564.0,7,5.7,"park-facing, security, power backup",2023,10975000.0
"Rohini, Delhi",Flat / Apartment,2250.0,28,10.3,"lift, park-facing, security",2019,8058000.0
"Mayur Vihar, Delhi",Flat / Apartment,1367.0,15,1.0,lift,2024,11875000.0
"Pitampura, Delhi",Flat / Apartment,1431.0,4,1.2,"park-facing, security",2024,13164000.0
"Sector 15, Faridabad",Flat / Apartment,1471.0,11,1.7,"parking, park-facing, gym",2021,4750000.0
"Pitampura, Delhi",Independent House,1389.0,15,5.1,"lift, gym, security, club",2024,13175000.0
"Sector 15, Faridabad",Flat / Apartment,2358.0,9,0.7,"parking, security",2020,8060000.0
"Saket, Delhi",Flat / Apartment,921.0,18,0.7,"lift, park-facing, security, power backup",2021,11705000.0
"Janakpuri, Delhi",Independent House,864.0,23,0.6,"parking, gym, security, power backup, club",2024,10011000.0
"Dwarka, Delhi",Flat / Apartment,1153.0,18,0.5,"lift, parking, park-facing, gym, power backup",2022,8033000.0
"Mayur Vihar, Delhi",Independent House,2083.0,17,1.0,"lift, security",2019,14385000.0
"Saket, Delhi",Flat / Apartment,1040.0,19,2.2,park-facing,2019,9895000.0
"Pitampura, Delhi",Flat / Apartment,1494.0,8,10.8,"lift, power backup",2021,8788000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1782.0,19,0.6,"lift, parking, security",2022,17580000.0
"Saket, Delhi",Flat / Apartment,1651.0,1,2.2,"parking, club",2021,20461000.0
"Dwarka, Delhi",Flat / Apartment,1758.0,23,2.9,"gym, power backup",2018,7505000.0
"Pitampura, Delhi",Flat / Apartment,1938.0,11,1.7,"lift, club",2019,11884000.0
"Sector 15, Faridabad",Flat / Apartment,1439.0,24,2.4,"gym, security, power backup",2018,3684000.0
"Saket, Delhi",Flat / Apartment,1094.0,7,1.4,"parking, gym, power backup",2023,14625000.0
"Janakpuri, Delhi",Independent House,1366.0,29,,"park-facing, security, power backup, club",2020,12041000.0
"Saket, Delhi",Flat / Apartment,1147.0,15,1.5,"lift, park-facing, gym, club",2020,13637000.0
"Indirapuram, Ghaziabad",Flat / Apartment,2435.0,28,4.4,"parking, club",2023,9746000.0
"Janakpuri, Delhi",Flat / Apartment,1060.0,8,3.4,,2024,10740000.0
"Sector 15, Faridabad",Villa,1517.0,15,1.9,"lift, club",2018,7380000.0
"Vasant Kunj, Delhi",Independent House,625.0,21,0.6,"park-facing, gym",2024,11708000.0
"Dwarka, Delhi",Villa,1360.0,21,0.4,"lift, parking, club",2020,9644000.0
"Mayur Vihar, Delhi",Independent House,1171.0,7,1.5,gym,2023,11498000.0
"Sector 56, Gurugram",Flat / Apartment,1604.0,12,3.2,"gym, security",2022,12099000.0
"Sector 15, Faridabad",Builder Floor,1616.0,6,2.9,gym,2018,5794000.0
Greater Noida West,Flat / Apartment,1938.0,19,2.7,security,2020,5741000.0
Greater Noida West,Independent House,1902.0,12,0.5,lift,2020,7381000.0
"Sector 56, Gurugram",Flat / Apartment,1270.0,0,3.8,"lift, power backup",2018,9686000.0
"Lajpat Nagar, Delhi",Flat / Apartment,875.0,8,2.5,"parking, security",2020,8533000.0
"Janakpuri, Delhi",Independent House,928.0,11,0.9,"parking, power backup",2021,9663000.0
"Dwarka, Delhi",Independent House,1436.0,16,4.1,"parking, power backup, club",2022,10762000.0
"Janakpuri, Delhi",Villa,1371.0,27,,,2018,13272000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1416.0,29,2.7,"lift, park-facing, gym, security, power backup, club",2022,13021000.0
"Rohini, Delhi",Flat / Apartment,1059.0,20,1.2,"lift, park-facing, gym, power backup, club",2020,4758000.0
"Saket, Delhi",Flat / Apartment,1947.0,27,1.7,"lift, park-facing, gym, power backup",2021,21122000.0
"Pitampura, Delhi",Flat / Apartment,637.0,0,2.9,"lift, parking, security",2024,5561000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1034.0,25,2.2,"parking, security",2021,9012000.0
"Sector 15, Faridabad",Flat / Apartment,815.0,15,1.9,"lift, club",2022,3402000.0
"Pitampura, Delhi",Independent House,1206.0,11,1.0,"lift, parking, park-facing",2024,13156000.0
"Sector 15, Faridabad",Flat / Apartment,1861.0,10,1.1,"lift, parking, gym",2023,8755000.0
"Sector 56, Gurugram",Builder Floor,1171.0,10,1.2,"parking, club",2020,9199000.0
"Rohini, Delhi",Independent House,1346.0,24,4.3,"park-facing, power backup",2019,6798000.0
"Saket, Delhi",Builder Floor,1599.0,13,7.7,,2020,17788000.0
"Sector 62, Noida",Flat / Apartment,1149.0,3,1.0,"lift, parking, security",2023,8148000.0
"Mayur Vihar, Delhi",Flat / Apartment,1472.0,27,5.9,"lift, parking, gym, power backup, club",2020,9547000.0
"Vasant Kunj, Delhi",Flat / Apartment,1413.0,18,0.9,"lift, gym, club",2019,17401000.0
"Pitampura, Delhi",Builder Floor,791.0,11,2.7,"lift, security, power backup",2018,4722000.0
Greater Noida West,Flat / Apartment,1091.0,21,0.8,"gym, security, power backup",2024,4259000.0
"Janakpuri, Delhi",Flat / Apartment,1460.0,10,4.7,"parking, park-facing, club",2019,10814000.0
"Rohini, Delhi",Villa,1877.0,17,3.8,"lift, parking, gym",2022,14114000.0
"Lajpat Nagar, Delhi",Builder Floor,1877.0,0,4.5,"security, power backup",2023,24049000.0
"Sector 15, Faridabad",Independent House,2243.0,8,1.4,"parking, gym, security, club",2022,10830000.0
"Sector 62, Noida",Flat / Apartment,1518.0,10,1.0,"parking, park-facing, gym, power backup",2018,6390000.0
"Indirapuram, Ghaziabad",Villa,1114.0,23,4.3,"power backup, club",2019,5842000.0
Greater Noida West,Flat / Apartment,1271.0,22,1.9,"lift, park-facing",2018,3073000.0
"Dwarka, Delhi",Flat / Apartment,1249.0,23,1.9,"gym, club",2021,7011000.0
"Vasant Kunj, Delhi",Independent House,1116.0,14,1.4,"lift, gym, power backup",2024,21144000.0
"Rohini, Delhi",Independent House,1472.0,10,1.8,"parking, park-facing, gym, security, power backup, club",2018,7782000.0
"Rohini, Delhi",Flat / Apartment,1493.0,15,4.4,"lift, parking, gym, security",2021,7277000.0
